ref	head	reachable_from_origin_main	subject
refs/heads/codex/0.5-release	15d37054a5c9365b6812e80fc68456f949881174	true	Finalize 0.5 release records
refs/heads/codex/0.6-integrated-copy-reconciliation	954a311c4bedfa37a9cbd3ad52c34067efa228c1	true	docs(landing): record final reconciliation evidence
refs/heads/codex/0.6-todo-state-audit	cb7a17d55bdc07077a779a7246ec4e1cb530c1b9	true	docs(0.6): reconcile todo state after branch landing
refs/heads/codex/archive-env06_6-atomic-consumer-handoff	8c2bb9a3780b273619afb694a1a67fbdd7133a09	false	On codex/depth-env-runtime: wip env06_6 atomic consumer handoff
refs/heads/codex/art06_1	6c946484fcaf62e3d4d25e4a72f4133c0cbf6a7a	true	docs(board): complete art06_1
refs/heads/codex/art06_1-runtime-repair	e1e941fa5f91d5ce407e5f9a28bac7a4c0d6204e	false	wip(art): preserve Punchline runtime raster repair
refs/heads/codex/audio06_1-prestage	091d64fdd431aad24ad582f6f236ae3b57ac86eb	true	docs(audio06_1): UNREVIEWED pre-stage surface SFX coverage
refs/heads/codex/backup-land06-docs-amended-20ee5d29	20ee5d29346ee0ebbe6773438d950924fd12d652	false	land06_0: commit the 0.6 remaining work program contracts
refs/heads/codex/balance06_1-follow-on-prompt	b047e1a02f366711b86dab0d4f611caf414ab037	false	docs(balance06_1): UNREVIEWED bind audit performance cadence
refs/heads/codex/balance06_1-follow-on-prompt-corrected	fcd5fe81ca7de1a415310aced0c3099b444a2176	false	docs(balance06_1): UNREVIEWED correct follow-on authority contract
refs/heads/codex/balance06-1-closeout	98e32d607632156fcfae6a3c44b8be994217870f	true	balance06_1: record partial audit closeout
refs/heads/codex/blackjack-heat-backoff	43767b4293d7dd83341a3219d268212df9622650	true	feat(blackjack): add heat backoffs and hover counting
refs/heads/codex/chain06_1	31d309ef58ba188b18f86e9508176048ae21e360	false	feat(story): add character storyline chains
refs/heads/codex/coin-pusher-release-closeout	4ed9b0f0f538d6ce578a91780da7d5323e33edaa	true	docs(coin-pusher): record remaining web performance blocker
refs/heads/codex/coin-pusher-web-performance	0ce00c0ba941adac29e0a4c8a5d9f1cf842a866e	true	perf(startup): skip default accessibility restyle
refs/heads/codex/consolidation-dirty-baseline_f4a66f67-20260902	5b93fce89c1e315386b10bbf0828dc673ff88c7e	false	wip(consolidation): preserve unfinished local state from D:/Projects/Beat-The-House/.tmp/baseline_f4a66f67
refs/heads/codex/consolidation-dirty-Beat-The-House-20260902	1e422acc0b8e3cb9c7a4a986ac7c2e2e0e714b38	false	wip(consolidation): preserve unfinished local state from D:/Projects/Beat-The-House
refs/heads/codex/consolidation-dirty-bth-geometry-probe-20260902	bfa0c3ca0656755597f05bfcf5f236eaed54a9c9	false	wip(consolidation): preserve unfinished local state from C:/bth-geometry-probe
refs/heads/codex/consolidation-dirty-compat652_digest-20260902	4cba09ab46b1ee3bffedd7129a150646b70c0899	false	wip(consolidation): preserve unfinished local state from D:/Projects/Beat-The-House/.tmp/compat652_digest
refs/heads/codex/consolidation-dirty-fix06_7-copy-parent-proof-20260902	b5984028f124d871e0d4910d2b8fb96b17b9ef2a	false	wip(consolidation): preserve unfinished local state from D:/Projects/Beat-The-House-worktrees/fix06_7-copy-parent-proof
refs/heads/codex/content06_1	a819ecebbba4b6ba77dcc3f4741f6b58286b405d	false	Strengthen content depth acceptance proof
refs/heads/codex/craps06_3-env-integration	872d09a97f70579a82576d07e583a1d0ec3a0609	true	WIP UNREVIEWED craps06_3: seal environment response authority
refs/heads/codex/craps06_3-impl	8ad3dd118248bafe632d51c6d69c0f3d1e1740da	true	docs(craps06_3): record remediation evidence
refs/heads/codex/craps06_3-prestage	917ac03028650e6d76921aed893f4a575a0f17a8	true	program06_0: record pusherv3_11 acceptance blocker
refs/heads/codex/craps06_3-second-rejection-decision	4f778efbae1f295c11b66141c1b0b63803da9f46	false	WIP UNREVIEWED craps06_3: stage second-rejection decision
refs/heads/codex/crew06_10-first-remediation	339997729bcb1c5496fd1d9909da867f7ab09b83	true	fix(crew06_10): UNREVIEWED avoid folded-card evaluation
